"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000091831",85.2040941347451,-7.13647606030021,2.58426542015105,15.412041848804,0.017283012936447,0.0706730279496056,"ESR1"
"ENSG00000123374",502.852525937344,-2.7969557292993,0.837210460831991,15.4096654805351,0.0172988992384505,0.0706986850370897,"CDK2"
"ENSG00000151650",28.6897514601329,2.86905034303861,2.90189933864622,15.4098515786089,0.0172976546464252,0.0706986850370897,"VENTX"
"ENSG00000136866",71.9963816215784,-4.05169420498869,3.23447415566794,15.4082698486828,0.0173082357183796,0.0707056641689502,"ZFP37"
"ENSG00000261338",13.9771636314907,-6.42516107106503,3.03185253293014,15.4082666705636,0.0173082569848255,0.0707056641689502,NA
"ENSG00000132356",1251.26523120163,1.09100174335493,0.633753207805599,15.406458025666,0.0173203636268449,0.0707394877689413,"PRKAA1"
"ENSG00000146729",836.578586732905,-0.244100593304634,0.481005695266791,15.405001517707,0.017330119041214,0.0707636957094853,"GBAS"
"ENSG00000073737",47.4592082291799,-9.55980125246667,3.42976200425543,15.3995831796204,0.0173664562548923,0.0708807559884489,"DHRS9"
"ENSG00000280332",83.7036055892398,-1.0174688410406,1.5060463451165,15.3997837707016,0.0173651097236095,0.0708807559884489,NA
"ENSG00000261428",47.0961554400705,4.37324226903151,2.1881758291704,15.3989751023793,0.0173705387772525,0.070881768056846,NA
"ENSG00000114331",2001.82213879654,-0.188940802109104,0.489235006585857,15.3963074703678,0.0173884596446887,0.0709392356062835,"ACAP2"
"ENSG00000089157",65656.5150485137,0.0745446971549347,0.200941904663585,15.3942305682442,0.0174024243067685,0.0709648827069526,"RPLP0"
"ENSG00000112378",41.720943191693,7.73484858262381,3.08376493711419,15.3944840217652,0.0174007195624261,0.0709648827069526,"PERP"
"ENSG00000054277",53.246075581185,-2.57302391326942,2.2599355544691,15.3916504494192,0.0174197874505048,0.0710200200755582,"OPN3"
"ENSG00000250321",37.2594233477016,-1.1990092212299,0.594192541994942,15.3899915919299,0.0174309596416279,0.0710498983407922,NA
"ENSG00000111206",233.807370855524,-3.30384589107532,1.60316939555032,15.382742652092,0.0174798608563437,0.0712324735163216,"FOXM1"
"ENSG00000143543",741.267210428102,-0.991388118434708,0.482247496567888,15.3822101016016,0.0174834586066298,0.0712324735163216,"JTB"
"ENSG00000224892",75.7635415514298,4.66966984793534,1.66101088817431,15.3788742372586,0.0175060108327585,0.0713086404238741,NA
"ENSG00000132205",280.686470267195,-0.446154372901179,0.956218285300061,15.3774229110193,0.0175158312658385,0.0713329237605254,"EMILIN2"
"ENSG00000231160",354.751404064886,0.931104320673163,1.64139581790636,15.3735373955023,0.0175421486657879,0.0714243652174205,"KLF3-AS1"
"ENSG00000085871",2103.80338800192,0.203959426106452,0.43051041612273,15.3687504044213,0.0175746239961235,0.0715408334217887,"MGST2"
"ENSG00000124006",399.781746502164,0.628031676104835,0.817368608894377,15.3659296222364,0.0175937873493247,0.071603073349244,"OBSL1"
"ENSG00000138613",584.733519937127,0.934767881642103,0.653502753019748,15.3643081092976,0.0176048123626234,0.0716321718078567,"APH1B"
"ENSG00000250988",261.257667317182,0.676623248872668,0.33476255037761,15.3624689715427,0.0176173250582358,0.0716673093533206,"SNHG21"
"ENSG00000117298",21.7726608953941,-6.63880730928689,2.49339307801473,15.3615907930957,0.0176233028061969,0.0716758531072717,"ECE1"
"ENSG00000204220",68.8721892951224,1.82546182619608,0.674117244377355,15.3602088443774,0.0176327136431377,0.0716931240777838,"PFDN6"
"ENSG00000253426",8.88098123311405,-5.48015091286434,2.97833958436381,15.3598282598583,0.0176353062040402,0.0716931240777838,NA
"ENSG00000123064",143.428623097166,-1.02349111120858,0.844277099406604,15.3555667767695,0.017664360570136,0.0717954496787519,"DDX54"
"ENSG00000197063",252.989321952856,0.691693026006428,0.843140712850825,15.3498426813039,0.0177034589969662,0.0719385446381445,"MAFG"
"ENSG00000183496",375.033548647674,-0.296527408009473,0.827732746763064,15.3481103300991,0.0177153081391204,0.0719708727366244,"MEX3B"
"ENSG00000048140",75.2458640194316,2.60662264083407,1.47880155881087,15.3457813163088,0.01773125036901,0.0720198117053722,"TSPAN17"
"ENSG00000184277",1370.92289771189,1.04400137345357,0.598137877552469,15.3400918405144,0.0177702529170154,0.0721623737194706,"TM2D3"
"ENSG00000241282",6.69390347514976,0.697490462408805,2.20152278583938,15.3357292403335,0.0178002150632593,0.0722681694364919,NA
"ENSG00000009790",1043.13392175598,1.10385346806451,0.973103743411876,15.3337219256499,0.0178140174487996,0.0722924506127468,"TRAF3IP3"
"ENSG00000083642",2839.87242775545,1.03571341272528,0.334282341228062,15.3338526453145,0.0178131183028165,0.0722924506127468,"PDS5B"
"ENSG00000142534",42325.9038658568,0.214585240873019,0.105648460496347,15.3291450790525,0.0178455263649677,0.0724044238051862,"RPS11"
